"TIME","GEO","DEG_URB","LEVELS","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Bad","Total","16 years or over","Percentage","7.6",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Bad","Males","16 years or over","Percentage","6.6",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Bad","Females","16 years or over","Percentage","8.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Very bad","Total","16 years or over","Percentage","1.8",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Very bad","Males","16 years or over","Percentage","1.6",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Very bad","Females","16 years or over","Percentage","2.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Bad or very bad","Total","16 years or over","Percentage","9.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Bad or very bad","Males","16 years or over","Percentage","8.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Bad or very bad","Females","16 years or over","Percentage","10.5",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very good","Total","16 years or over","Percentage","23.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very good","Males","16 years or over","Percentage","26.0",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very good","Females","16 years or over","Percentage","22.0",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Good","Total","16 years or over","Percentage","46.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Good","Males","16 years or over","Percentage","46.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Good","Females","16 years or over","Percentage","45.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very good or good","Total","16 years or over","Percentage","70.0",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very good or good","Males","16 years or over","Percentage","72.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very good or good","Females","16 years or over","Percentage","67.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Fair","Total","16 years or over","Percentage","21.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Fair","Males","16 years or over","Percentage","19.6",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Fair","Females","16 years or over","Percentage","22.7",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Bad","Total","16 years or over","Percentage","7.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Bad","Males","16 years or over","Percentage","6.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Bad","Females","16 years or over","Percentage","8.0",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very bad","Total","16 years or over","Percentage","1.7",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very bad","Males","16 years or over","Percentage","1.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Very bad","Females","16 years or over","Percentage","1.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Bad or very bad","Total","16 years or over","Percentage","8.7",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Bad or very bad","Males","16 years or over","Percentage","7.5",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cities","Bad or very bad","Females","16 years or over","Percentage","9.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very good","Total","16 years or over","Percentage","21.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very good","Males","16 years or over","Percentage","22.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very good","Females","16 years or over","Percentage","20.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Good","Total","16 years or over","Percentage","47.3",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Good","Males","16 years or over","Percentage","48.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Good","Females","16 years or over","Percentage","46.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very good or good","Total","16 years or over","Percentage","68.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very good or good","Males","16 years or over","Percentage","70.6",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very good or good","Females","16 years or over","Percentage","66.3",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Fair","Total","16 years or over","Percentage","22.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Fair","Males","16 years or over","Percentage","21.6",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Fair","Females","16 years or over","Percentage","24.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Bad","Total","16 years or over","Percentage","7.0",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Bad","Males","16 years or over","Percentage","6.3",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Bad","Females","16 years or over","Percentage","7.5",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very bad","Total","16 years or over","Percentage","1.7",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very bad","Males","16 years or over","Percentage","1.5",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Very bad","Females","16 years or over","Percentage","1.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Bad or very bad","Total","16 years or over","Percentage","8.7",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Bad or very bad","Males","16 years or over","Percentage","7.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Towns and suburbs","Bad or very bad","Females","16 years or over","Percentage","9.5",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very good","Total","16 years or over","Percentage","22.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very good","Males","16 years or over","Percentage","24.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very good","Females","16 years or over","Percentage","20.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Good","Total","16 years or over","Percentage","42.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Good","Males","16 years or over","Percentage","43.7",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Good","Females","16 years or over","Percentage","41.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very good or good","Total","16 years or over","Percentage","64.5",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very good or good","Males","16 years or over","Percentage","67.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very good or good","Females","16 years or over","Percentage","61.3",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Fair","Total","16 years or over","Percentage","24.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Fair","Males","16 years or over","Percentage","22.4",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Fair","Females","16 years or over","Percentage","26.0",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Bad","Total","16 years or over","Percentage","9.1",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Bad","Males","16 years or over","Percentage","7.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Bad","Females","16 years or over","Percentage","10.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very bad","Total","16 years or over","Percentage","2.2",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very bad","Males","16 years or over","Percentage","1.9",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Very bad","Females","16 years or over","Percentage","2.5",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Bad or very bad","Total","16 years or over","Percentage","11.3",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Bad or very bad","Males","16 years or over","Percentage","9.8",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rural areas","Bad or very bad","Females","16 years or over","Percentage","12.7",""
"2010","European Union - 27 countries (from 2020)","Total","Very good","Total","16 years or over","Percentage","20.5","e"
"2010","European Union - 27 countries (from 2020)","Total","Very good","Males","16 years or over","Percentage","22.4","e"
"2010","European Union - 27 countries (from 2020)","Total","Very good","Females","16 years or over","Percentage","18.8","e"
"2010","European Union - 27 countries (from 2020)","Total","Good","Total","16 years or over","Percentage","46.2","e"
"2010","European Union - 27 countries (from 2020)","Total","Good","Males","16 years or over","Percentage","47.4","e"
"2010","European Union - 27 countries (from 2020)","Total","Good","Females","16 years or over","Percentage","45.1","e"
"2010","European Union - 27 countries (from 2020)","Total","Very good or good","Total","16 years or over","Percentage","66.8","e"
"2010","European Union - 27 countries (from 2020)","Total","Very good or good","Males","16 years or over","Percentage","69.8","e"
"2010","European Union - 27 countries (from 2020)","Total","Very good or good","Females","16 years or over","Percentage","63.9","e"
"2010","European Union - 27 countries (from 2020)","Total","Fair","Total","16 years or over","Percentage","23.4","e"
"2010","European Union - 27 countries (from 2020)","Total","Fair","Males","16 years or over","Percentage","21.7","e"
"2010","European Union - 27 countries (from 2020)","Total","Fair","Females","16 years or over","Percentage","25.0","e"
"2010","European Union - 27 countries (from 2020)","Total","Bad","Total","16 years or over","Percentage","7.9","e"
"2010","European Union - 27 countries (from 2020)","Total","Bad","Males","16 years or over","Percentage","6.9","e"
"2010","European Union - 27 countries (from 2020)","Total","Bad","Females","16 years or over","Percentage","8.9","e"
"2010","European Union - 27 countries (from 2020)","Total","Very bad","Total","16 years or over","Percentage","1.9","e"
"2010","European Union - 27 countries (from 2020)","Total","Very bad","Males","16 years or over","Percentage","1.6","e"
"2010","European Union - 27 countries (from 2020)","Total","Very bad","Females","16 years or over","Percentage","2.2","e"
"2010","European Union - 27 countries (from 2020)","Total","Bad or very bad","Total","16 years or over","Percentage","9.8","e"
"2010","European Union - 27 countries (from 2020)","Total","Bad or very bad","Males","16 years or over","Percentage","8.5","e"
"2010","European Union - 27 countries (from 2020)","Total","Bad or very bad","Females","16 years or over","Percentage","11.1","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very good","Total","16 years or over","Percentage","21.2","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very good","Males","16 years or over","Percentage","23.4","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very good","Females","16 years or over","Percentage","19.3","e"
"2010","European Union - 27 countries (from 2020)","Cities","Good","Total","16 years or over","Percentage","47.2","e"
"2010","European Union - 27 countries (from 2020)","Cities","Good","Males","16 years or over","Percentage","48.3","e"
"2010","European Union - 27 countries (from 2020)","Cities","Good","Females","16 years or over","Percentage","46.2","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very good or good","Total","16 years or over","Percentage","68.5","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very good or good","Males","16 years or over","Percentage","71.7","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very good or good","Females","16 years or over","Percentage","65.6","e"
"2010","European Union - 27 countries (from 2020)","Cities","Fair","Total","16 years or over","Percentage","22.3","e"
"2010","European Union - 27 countries (from 2020)","Cities","Fair","Males","16 years or over","Percentage","20.6","e"
"2010","European Union - 27 countries (from 2020)","Cities","Fair","Females","16 years or over","Percentage","23.9","e"
"2010","European Union - 27 countries (from 2020)","Cities","Bad","Total","16 years or over","Percentage","7.5","e"
"2010","European Union - 27 countries (from 2020)","Cities","Bad","Males","16 years or over","Percentage","6.3","e"
"2010","European Union - 27 countries (from 2020)","Cities","Bad","Females","16 years or over","Percentage","8.5","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very bad","Total","16 years or over","Percentage","1.8","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very bad","Males","16 years or over","Percentage","1.4","e"
"2010","European Union - 27 countries (from 2020)","Cities","Very bad","Females","16 years or over","Percentage","2.0","e"
"2010","European Union - 27 countries (from 2020)","Cities","Bad or very bad","Total","16 years or over","Percentage","9.2","e"
"2010","European Union - 27 countries (from 2020)","Cities","Bad or very bad","Males","16 years or over","Percentage","7.7","e"
"2010","European Union - 27 countries (from 2020)","Cities","Bad or very bad","Females","16 years or over","Percentage","10.6","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very good","Total","16 years or over","Percentage","19.3","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very good","Males","16 years or over","Percentage","20.6","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very good","Females","16 years or over","Percentage","18.1","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Good","Total","16 years or over","Percentage","48.1","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Good","Males","16 years or over","Percentage","49.2","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Good","Females","16 years or over","Percentage","47.1","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very good or good","Total","16 years or over","Percentage","67.4","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very good or good","Males","16 years or over","Percentage","69.7","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very good or good","Females","16 years or over","Percentage","65.2","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Fair","Total","16 years or over","Percentage","23.6","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Fair","Males","16 years or over","Percentage","22.2","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Fair","Females","16 years or over","Percentage","25.0","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Bad","Total","16 years or over","Percentage","7.2","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Bad","Males","16 years or over","Percentage","6.5","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Bad","Females","16 years or over","Percentage","7.8","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very bad","Total","16 years or over","Percentage","1.8","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very bad","Males","16 years or over","Percentage","1.6","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Very bad","Females","16 years or over","Percentage","2.0","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Bad or very bad","Total","16 years or over","Percentage","9.0","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Bad or very bad","Males","16 years or over","Percentage","8.1","e"
"2010","European Union - 27 countries (from 2020)","Towns and suburbs","Bad or very bad","Females","16 years or over","Percentage","9.8","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very good","Total","16 years or over","Percentage","20.7","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very good","Males","16 years or over","Percentage","22.8","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very good","Females","16 years or over","Percentage","18.7","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Good","Total","16 years or over","Percentage","42.6","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Good","Males","16 years or over","Percentage","44.1","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Good","Females","16 years or over","Percentage","41.3","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very good or good","Total","16 years or over","Percentage","63.3","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very good or good","Males","16 years or over","Percentage","66.8","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very good or good","Females","16 years or over","Percentage","60.0","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Fair","Total","16 years or over","Percentage","24.9","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Fair","Males","16 years or over","Percentage","23.0","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Fair","Females","16 years or over","Percentage","26.8","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Bad","Total","16 years or over","Percentage","9.5","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Bad","Males","16 years or over","Percentage","8.2","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Bad","Females","16 years or over","Percentage","10.6","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very bad","Total","16 years or over","Percentage","2.3","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very bad","Males","16 years or over","Percentage","1.9","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Very bad","Females","16 years or over","Percentage","2.7","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Bad or very bad","Total","16 years or over","Percentage","11.8","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Bad or very bad","Males","16 years or over","Percentage","10.2","e"
"2010","European Union - 27 countries (from 2020)","Rural areas","Bad or very bad","Females","16 years or over","Percentage","13.3","e"
"2010","European Union - 28 countries (2013-2020)","Total","Very good","Total","16 years or over","Percentage","22.9",""
"2010","European Union - 28 countries (2013-2020)","Total","Very good","Males","16 years or over","Percentage","24.7",""
"2010","European Union - 28 countries (2013-2020)","Total","Very good","Females","16 years or over","Percentage","21.2",""
"2010","European Union - 28 countries (2013-2020)","Total","Good","Total","16 years or over","Percentage","45.4",""
"2010","European Union - 28 countries (2013-2020)","Total","Good","Males","16 years or over","Percentage","46.4",""
"2010","European Union - 28 countries (2013-2020)","Total","Good","Females","16 years or over","Percentage","44.5",""
"2010","European Union - 28 countries (2013-2020)","Total","Very good or good","Total","16 years or over","Percentage","68.3",""
"2010","European Union - 28 countries (2013-2020)","Total","Very good or good","Males","16 years or over","Percentage","71.1",""
"2010","European Union - 28 countries (2013-2020)","Total","Very good or good","Females","16 years or over","Percentage","65.8",""
"2010","European Union - 28 countries (2013-2020)","Total","Fair","Total","16 years or over","Percentage","22.4",""
"2010","European Union - 28 countries (2013-2020)","Total","Fair","Males","16 years or over","Percentage","20.8",""
"2010","European Union - 28 countries (2013-2020)","Total","Fair","Females","16 years or over","Percentage","23.8",""
"2010","European Union - 28 countries (2013-2020)","Total","Bad","Total","16 years or over","Percentage","7.5",""
"2010","European Union - 28 countries (2013-2020)","Total","Bad","Males","16 years or over","Percentage","6.6",""
"2010","European Union - 28 countries (2013-2020)","Total","Bad","Females","16 years or over","Percentage","8.4",""
"2010","European Union - 28 countries (2013-2020)","Total","Very bad","Total","16 years or over","Percentage","1.8",""
"2010","European Union - 28 countries (2013-2020)","Total","Very bad","Males","16 years or over","Percentage","1.6",""
"2010","European Union - 28 countries (2013-2020)","Total","Very bad","Females","16 years or over","Percentage","2.0",""
"2010","European Union - 28 countries (2013-2020)","Total","Bad or very bad","Total","16 years or over","Percentage","9.3",""
"2010","European Union - 28 countries (2013-2020)","Total","Bad or very bad","Males","16 years or over","Percentage","8.1",""
