"TIME","GEO","ISCED11","AGE","SEX","LEVELS","UNIT","Value","Flag and Footnotes"
"2008","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","9.2",""
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","20.0",""
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","48.5",""
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","68.4",""
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","23.2",""
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.8",""
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.5",""
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.4",""
"2008","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","19.7",""
"2008","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","48.2",""
"2008","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","67.9",""
"2008","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","23.4",""
"2008","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","7.1",""
"2008","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.6",""
"2008","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.7",""
"2008","Euro area - 18 countries (2014)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","19.8",""
"2008","Euro area - 18 countries (2014)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","48.3",""
"2008","Euro area - 18 countries (2014)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","68.1",""
"2008","Euro area - 18 countries (2014)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","23.3",""
"2008","Euro area - 18 countries (2014)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","7.0",""
"2008","Euro area - 18 countries (2014)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.6",""
"2008","Euro area - 18 countries (2014)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.6",""
"2008","Belgium","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","27.8",""
"2008","Belgium","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","47.3",""
"2008","Belgium","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","75.1",""
"2008","Belgium","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","17.5",""
"2008","Belgium","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.3",""
"2008","Belgium","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.2",""
"2008","Belgium","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","7.5",""
"2008","Bulgaria","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","17.1",""
"2008","Bulgaria","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","45.7",""
"2008","Bulgaria","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","62.9",""
"2008","Bulgaria","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","23.7",""
"2008","Bulgaria","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","10.7",""
"2008","Bulgaria","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.7",""
"2008","Bulgaria","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","13.5",""
"2008","Czechia","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","20.0",""
"2008","Czechia","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","41.7",""
"2008","Czechia","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","61.6",""
"2008","Czechia","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","25.5",""
"2008","Czechia","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","10.5",""
"2008","Czechia","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.4",""
"2008","Czechia","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","12.9",""
"2008","Denmark","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","32.8",""
"2008","Denmark","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","42.0",""
"2008","Denmark","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","74.8",""
"2008","Denmark","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","18.1",""
"2008","Denmark","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","5.3",""
"2008","Denmark","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.8",""
"2008","Denmark","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","7.1",""
"2008","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","15.8",""
"2008","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","48.8",""
"2008","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","64.6",""
"2008","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","27.4",""
"2008","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.5",""
"2008","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.5",""
"2008","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.0",""
"2008","Estonia","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","7.4",""
"2008","Estonia","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","47.2",""
"2008","Estonia","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","54.6",""
"2008","Estonia","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","30.6",""
"2008","Estonia","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","12.4",""
"2008","Estonia","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.4",""
"2008","Estonia","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","14.8",""
"2008","Ireland","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","47.0",""
"2008","Ireland","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","37.5",""
"2008","Ireland","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","84.5",""
"2008","Ireland","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","12.9",""
"2008","Ireland","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","2.2",""
"2008","Ireland","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","0.4",""
"2008","Ireland","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","2.5",""
"2008","Greece","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","53.5",""
"2008","Greece","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","24.0",""
"2008","Greece","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","77.5",""
"2008","Greece","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","14.1",""
"2008","Greece","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.1",""
"2008","Greece","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.3",""
"2008","Greece","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.4",""
"2008","Spain","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","16.8",""
"2008","Spain","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","58.5",""
"2008","Spain","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","75.3",""
"2008","Spain","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","18.2",""
"2008","Spain","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","5.2",""
"2008","Spain","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.3",""
"2008","Spain","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","6.5",""
"2008","France","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","24.5",""
"2008","France","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","44.6",""
"2008","France","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","69.1",""
"2008","France","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","22.5",""
"2008","France","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","7.4",""
"2008","France","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.1",""
"2008","France","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.4",""
"2008","Croatia","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage",":",""
"2008","Croatia","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage",":",""
"2008","Croatia","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage",":",""
"2008","Croatia","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage",":",""
"2008","Croatia","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage",":",""
"2008","Croatia","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage",":",""
"2008","Croatia","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage",":",""
"2008","Italy","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","12.8",""
"2008","Italy","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","51.3",""
"2008","Italy","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","64.1",""
"2008","Italy","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","25.3",""
"2008","Italy","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","8.5",""
"2008","Italy","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.1",""
"2008","Italy","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","10.6",""
"2008","Cyprus","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","49.5",""
"2008","Cyprus","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","27.9",""
"2008","Cyprus","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","77.3",""
"2008","Cyprus","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","15.0",""
"2008","Cyprus","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.4",""
"2008","Cyprus","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.2",""
"2008","Cyprus","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","7.6",""
"2008","Latvia","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","4.7",""
"2008","Latvia","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","39.1",""
"2008","Latvia","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","43.7",""
"2008","Latvia","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","38.5",""
"2008","Latvia","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","14.3",""
"2008","Latvia","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","3.5",""
"2008","Latvia","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","17.8",""
"2008","Lithuania","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","6.6",""
"2008","Lithuania","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","40.7",""
"2008","Lithuania","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","47.3",""
"2008","Lithuania","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","34.7",""
"2008","Lithuania","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","15.2",""
"2008","Lithuania","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.8",""
"2008","Lithuania","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","18.0",""
"2008","Luxembourg","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","29.9",""
"2008","Luxembourg","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","44.4",""
"2008","Luxembourg","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","74.2",""
"2008","Luxembourg","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","18.1",""
"2008","Luxembourg","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.5",""
"2008","Luxembourg","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.2",""
"2008","Luxembourg","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","7.6",""
"2008","Hungary","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","16.9",""
"2008","Hungary","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","38.3",""
"2008","Hungary","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","55.2",""
"2008","Hungary","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","25.6",""
"2008","Hungary","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","14.3",""
"2008","Hungary","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","4.9",""
"2008","Hungary","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","19.2",""
"2008","Malta","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","32.6",""
"2008","Malta","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","42.2",""
"2008","Malta","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","74.8",""
"2008","Malta","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","21.3",""
"2008","Malta","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","3.5",""
"2008","Malta","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","0.4",""
"2008","Malta","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","3.9",""
"2008","Netherlands","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","22.7",""
"2008","Netherlands","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","54.6",""
"2008","Netherlands","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","77.3",""
"2008","Netherlands","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","17.4",""
"2008","Netherlands","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","4.4",""
"2008","Netherlands","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","0.9",""
"2008","Netherlands","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","5.3",""
"2008","Austria","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","32.7",""
"2008","Austria","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","37.4",""
"2008","Austria","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","70.1",""
"2008","Austria","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","21.0",""
"2008","Austria","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","7.0",""
"2008","Austria","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.8",""
"2008","Austria","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.9",""
"2008","Poland","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","17.4",""
"2008","Poland","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","40.4",""
"2008","Poland","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","57.8",""
"2008","Poland","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","25.9",""
"2008","Poland","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","13.3",""
"2008","Poland","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.9",""
"2008","Poland","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","16.2",""
"2008","Portugal","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","10.2",""
"2008","Portugal","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","44.0",""
"2008","Portugal","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","54.2",""
"2008","Portugal","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","31.6",""
"2008","Portugal","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","10.9",""
"2008","Portugal","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","3.3",""
"2008","Portugal","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","14.2",""
"2008","Romania","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","24.9",""
"2008","Romania","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","44.2",""
"2008","Romania","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","69.1",""
"2008","Romania","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","22.4",""
"2008","Romania","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.7",""
"2008","Romania","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.7",""
"2008","Romania","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","8.4",""
"2008","Slovenia","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","16.4",""
"2008","Slovenia","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","42.5",""
"2008","Slovenia","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","59.0",""
"2008","Slovenia","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","26.9",""
"2008","Slovenia","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","11.6",""
"2008","Slovenia","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","2.5",""
"2008","Slovenia","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","14.1",""
"2008","Slovakia","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","19.5",""
"2008","Slovakia","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","40.4",""
"2008","Slovakia","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","59.9",""
"2008","Slovakia","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","24.5",""
"2008","Slovakia","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","11.2",""
"2008","Slovakia","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","4.4",""
"2008","Slovakia","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","15.6",""
"2008","Finland","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","23.5",""
"2008","Finland","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","45.0",""
"2008","Finland","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","68.5",""
"2008","Finland","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","23.8",""
"2008","Finland","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.3",""
"2008","Finland","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.3",""
"2008","Finland","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","7.7",""
"2008","Sweden","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","36.0",""
"2008","Sweden","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","41.1",""
"2008","Sweden","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","77.1",""
"2008","Sweden","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","17.2",""
"2008","Sweden","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","4.6",""
"2008","Sweden","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.2",""
"2008","Sweden","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","5.7",""
"2008","United Kingdom","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","39.8",""
"2008","United Kingdom","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","40.1",""
"2008","United Kingdom","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","79.9",""
"2008","United Kingdom","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","15.2",""
"2008","United Kingdom","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","4.0",""
"2008","United Kingdom","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.0",""
"2008","United Kingdom","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","4.9",""
"2008","Iceland","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","45.3",""
"2008","Iceland","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","35.3",""
"2008","Iceland","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","80.6",""
"2008","Iceland","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","15.2",""
"2008","Iceland","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","2.8",""
"2008","Iceland","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.4",""
"2008","Iceland","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","4.2",""
"2008","Norway","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","27.5",""
"2008","Norway","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","49.0",""
"2008","Norway","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","76.5",""
"2008","Norway","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","15.7",""
"2008","Norway","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","6.8",""
"2008","Norway","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","1.0",""
"2008","Norway","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","7.8",""
"2008","Switzerland","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage","31.0",""
"2008","Switzerland","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage","50.2",""
"2008","Switzerland","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage","81.2",""
"2008","Switzerland","All ISCED 2011 levels ","16 years or over","Total","Fair","Percentage","15.6",""
"2008","Switzerland","All ISCED 2011 levels ","16 years or over","Total","Bad","Percentage","2.7",""
"2008","Switzerland","All ISCED 2011 levels ","16 years or over","Total","Very bad","Percentage","0.5",""
"2008","Switzerland","All ISCED 2011 levels ","16 years or over","Total","Bad or very bad","Percentage","3.2",""
"2008","Montenegro","All ISCED 2011 levels ","16 years or over","Total","Very good","Percentage",":",""
"2008","Montenegro","All ISCED 2011 levels ","16 years or over","Total","Good","Percentage",":",""
"2008","Montenegro","All ISCED 2011 levels ","16 years or over","Total","Very good or good","Percentage",":",""
